epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.412,2.39722,5.64057,2.55852,0.00122,0.21208,0.00069,0.00027,3.26999,inf,44.5322,0.000414644,0.000414644,0.000414644
2,455.87,2.65008,4.36395,2.74319,0.72678,0.09722,0.03123,0.00997,nan,nan,nan,0.000827196,0.000827196,0.000827196
3,679.344,2.66862,4.36788,2.68573,0.00233,0.63292,0.03058,0.0122,nan,nan,nan,0.00123562,0.00123562,0.00123562
4,901.973,2.63953,4.40005,2.71048,0.74466,0.07292,0.04742,0.02206,2.83297,4.92405,2.92334,0.00123144,0.00123144,0.00123144
5,1124.84,2.59219,4.14331,2.68698,0.79313,0.10069,0.07948,0.02674,2.69523,4.75916,3.02344,0.00122525,0.00122525,0.00122525
6,1347.79,2.53444,4.17122,2.59142,0.78363,0.11111,0.07234,0.02216,2.63772,5.00281,2.78843,0.00121906,0.00121906,0.00121906
7,1569,2.458,4.0932,2.6072,0.77839,0.10329,0.09271,0.03524,2.34401,3.79358,2.54228,0.00121287,0.00121287,0.00121287
8,1789.28,2.40344,4.04632,2.54987,0.73194,0.10764,0.06338,0.02084,2.28966,3.68606,2.54631,0.00120669,0.00120669,0.00120669
9,2008.74,2.47002,4.05284,2.61409,0.7628,0.10069,0.09051,0.03468,2.6165,4.18678,2.85905,0.0012005,0.0012005,0.0012005
10,2228.48,2.37304,3.89695,2.54034,0.71783,0.08681,0.07043,0.02993,2.26676,3.72943,2.5654,0.00119431,0.00119431,0.00119431
11,2448.67,2.38429,3.89349,2.50412,0.82364,0.13889,0.14216,0.05411,2.23298,3.40873,2.42084,0.00118812,0.00118812,0.00118812
12,2670.06,2.32404,3.87403,2.47747,0.82745,0.10764,0.13829,0.05596,2.10267,3.3755,2.3055,0.00118194,0.00118194,0.00118194
13,2891.64,2.26466,3.76388,2.47758,0.4941,0.10999,0.1247,0.05688,2.16489,3.51668,2.41177,0.00117575,0.00117575,0.00117575
14,3112.6,2.29391,3.79734,2.43195,0.75179,0.07292,0.1094,0.04559,2.16613,3.44298,2.39856,0.00116956,0.00116956,0.00116956
15,3333.62,2.28934,3.70903,2.43421,0.78164,0.125,0.11961,0.04661,2.21701,3.5254,2.43865,0.00116337,0.00116337,0.00116337
16,3553.95,2.26496,3.74708,2.42791,0.79322,0.13194,0.12934,0.06272,2.06167,3.30233,2.35166,0.00115719,0.00115719,0.00115719
17,3775.02,2.20513,3.63592,2.37755,0.85285,0.13542,0.17731,0.07175,2.09121,3.17447,2.31955,0.001151,0.001151,0.001151
18,3995.86,2.25325,3.77657,2.41185,0.11077,0.16653,0.13355,0.0606,2.07039,3.1278,2.33657,0.00114481,0.00114481,0.00114481
19,4216.71,2.21235,3.61927,2.39633,0.81979,0.12847,0.15876,0.06812,1.99098,3.3048,2.25711,0.00113863,0.00113863,0.00113863
20,4437.1,2.21567,3.54959,2.37231,0.77175,0.11806,0.16518,0.07181,2.03668,3.15474,2.32408,0.00113244,0.00113244,0.00113244
21,4659.32,2.21268,3.54244,2.38561,0.78981,0.10764,0.13288,0.05188,1.92812,3.20398,2.24773,0.00112625,0.00112625,0.00112625
22,4879.06,2.21522,3.56231,2.3176,0.86067,0.12153,0.16454,0.06927,2.03755,3.18741,2.21877,0.00112006,0.00112006,0.00112006
23,5100.92,2.22587,3.54469,2.40008,0.58902,0.22403,0.15359,0.07423,1.88244,3.09426,2.15282,0.00111388,0.00111388,0.00111388
24,5322.05,2.19848,3.54116,2.35336,0.47615,0.24431,0.14883,0.0677,1.94806,3.08647,2.24111,0.00110769,0.00110769,0.00110769
25,5542.46,2.14134,3.48104,2.31384,0.79442,0.13542,0.15499,0.06508,2.28117,3.35822,2.46305,0.0011015,0.0011015,0.0011015
26,5762.83,2.1234,3.48109,2.3197,0.56307,0.25111,0.21182,0.09555,1.866,2.85721,2.16707,0.00109531,0.00109531,0.00109531
27,5982.65,2.13887,3.50288,2.33262,0.81033,0.14236,0.23676,0.11036,1.9845,3.23622,2.21405,0.00108913,0.00108913,0.00108913
28,6202.78,2.15405,3.37468,2.32063,0.58889,0.26083,0.2437,0.11043,1.86767,2.86587,2.13483,0.00108294,0.00108294,0.00108294
29,6424.14,2.10688,3.31423,2.27719,0.53146,0.28273,0.25593,0.11511,2.00411,2.87741,2.23369,0.00107675,0.00107675,0.00107675
30,6646.19,2.13785,3.38494,2.34137,0.73624,0.18403,0.24105,0.11949,1.8582,3.08138,2.17001,0.00107056,0.00107056,0.00107056
31,6867.35,2.06221,3.26845,2.25678,0.60357,0.28167,0.27021,0.13217,1.81089,2.93806,2.09114,0.00106437,0.00106437,0.00106437
32,7089.15,2.0786,3.46052,2.27396,0.89029,0.15625,0.22538,0.10066,1.85846,2.87647,2.16445,0.00105819,0.00105819,0.00105819
33,7310.81,2.03795,3.3485,2.26924,0.52933,0.30847,0.2636,0.12824,2.02038,2.99796,2.29107,0.001052,0.001052,0.001052
34,7531.58,2.11364,3.34804,2.28302,0.72239,0.26347,0.29654,0.14884,1.90231,2.7182,2.13537,0.00104581,0.00104581,0.00104581
35,7752.77,2.06165,3.23002,2.2281,0.64688,0.27611,0.29068,0.14818,1.82438,2.66457,2.15395,0.00103962,0.00103962,0.00103962
